Symbol,Name,결산월,회계년,주기,영업이익(천원),이자비용(천원),유동자산(천원),유동부채(천원),당좌자산(천원),매출액(천원),매출채권(천원),매출원가(천원),재고자산(천원),총자본(천원),총부채(천원),유형자산(천원),총자산(천원),판매비와관리비(천원),당기순이익(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),유무형자산상각비(천원),비유동자산(천원),세전계속사업이익(천원),투자활동으로인한현금흐름(천원)
A000660,SK하이닉스,12,2017,Annual,13721326000.0,123918000.0,17310444000.0,8116133000.0,14670005000.0,30109434000.0,5552795000.0,12701843000.0,2640439000.0,33820919000.0,11597545000.0,24062601000.0,45418464000.0,3686265000.0,10642219000.0,3481412000.0,14690614000.0,444672000.0,28108020000.0,13439566000.0,-11919162000.0
A000660,SK하이닉스,12,2018,Annual,20843750000.0,94635000.0,19894146000.0,13031852000.0,15471413000.0,40445066000.0,6319994000.0,15180838000.0,4422733000.0,46852331000.0,16806004000.0,34952617000.0,63658335000.0,4420478000.0,15539984000.0,3774152000.0,22227199000.0,572618000.0,43764189000.0,21341030000.0,-21428749000.0
A000660,SK하이닉스,12,2019,Annual,2719179000.0,245440000.0,14457602000.0,7961966000.0,9161767000.0,26990733000.0,4261674000.0,18818814000.0,5295835000.0,47935882000.0,17312468000.0,39949940000.0,65248350000.0,5452740000.0,2009078000.0,9350502000.0,6549736000.0,893794000.0,50790748000.0,2432639000.0,-10450936000.0
A000660,SK하이닉스,12,2020,Annual,5012624000.0,253468000.0,16570953000.0,9072360000.0,10434635000.0,31900418000.0,4931322000.0,21089789000.0,6136318000.0,51909097000.0,19264756000.0,41230562000.0,71173853000.0,5798005000.0,4758914000.0,10192396000.0,12314571000.0,965510000.0,54602900000.0,6237037000.0,-11840393000.0
A000660,SK하이닉스,12,2021,Annual,12410340000.0,259960000.0,26907075000.0,14735395000.0,17956988000.0,42997792000.0,8267111000.0,24045600000.0,8950087000.0,62191058000.0,34155467000.0,53225667000.0,96346525000.0,6541852000.0,9616188000.0,19420072000.0,19797648000.0,744854000.0,69439450000.0,13415987000.0,-22392277000.0
A000660,SK하이닉스,12,2022,Annual,6809417000.0,533114000.0,28733332000.0,19843696000.0,13068625000.0,44621568000.0,5186054000.0,28993713000.0,15664707000.0,63290542000.0,40580970000.0,60228528000.0,103871512000.0,8818438000.0,2241669000.0,20737274000.0,14780517000.0,679399000.0,75138180000.0,4002780000.0,-17883746000.0
A373220,LG에너지솔루션,12,2011,Annual,,,,,,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2012,Annual,,,,,,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2013,Annual,,,,,,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2014,Annual,,,,,,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2015,Annual,,,,,,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2016,Annual,,,,,,,,,,,,,,,,,,,,,
