Symbol,Name,상장연도,결산월,회계년,주기,당기순이익률(%),매출총이익률(%),영업이익률(%),자본금영업이익률(%),자본금세전계속사업이익률(%),*영업수익/영업비용(%),ROE(세전계속사업이익)(%),자본금지배주주순이익률(%),매출액증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),현금및현금성자산구성비율(%),총자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),현금흐름/총부채(%),현금흐름/영업수익(%),현금흐름/총자본(%),유동비율(%),당좌비율(%),매출채권회전율,재고자산회전율,고정자산회전율,영업현금흐름/투자현금흐름(%),DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,벤포드,분식기업
A013700,까뮤이앤씨,1989,12,2020,Annual,5.69,8.06,1.74,12.48,43.24,101.77,12.7,40.76,-42.94,16.68,6.6,-81.02,-31.81,32.05,0.59,6.31,50.21,100.83,2.6,0.97,1.78,2.1,7.16,11.95,6.7,14.11,105.83,102.94,6.51,121.7,1.56,-6.63,2.23,1.24,1.39,0.57,0.01,1.33,0.87,0.15,1,0.0
A013700,까뮤이앤씨,1989,12,2021,Annual,-1.84,5.87,-1.84,-13.34,-16.9,98.19,-4.2,-13.36,1.21,19.39,-0.68,-206.84,-132.78,27.12,0.45,7.71,49.34,97.4,2.14,0.91,1.82,1.8,7.25,-1.55,-0.85,-1.53,96.7,91.22,6.1,64.13,1.34,-0.64,0.92,1.37,1.09,1.01,0.01,1.22,0.98,-0.0,0,0.0
A013700,까뮤이앤씨,1989,12,2022,Annual,-8.14,-1.84,-8.15,-70.42,-80.29,92.47,-20.37,-70.38,19.22,-19.9,-0.01,427.99,426.69,27.06,0.4,6.31,59.51,146.99,2.42,1.0,1.84,2.19,8.64,-13.35,-7.27,-15.94,81.29,75.97,6.99,46.52,1.54,-3.95,0.97,-3.19,0.91,1.19,0.01,0.82,1.21,-0.02,1,0.0
A004540,깨끗한나라,1975,12,2012,Annual,2.27,16.93,2.67,13.73,7.23,102.75,8.04,11.66,7.75,11.56,-3.41,35.35,1111.22,69.83,0.34,14.26,72.45,263.03,0.75,1.46,1.97,5.72,5.14,11.21,5.7,32.64,44.75,30.21,10.0,13.98,2.01,-2.91,1.02,0.9,0.71,1.08,0.0,1.09,0.95,-0.06,0,0.0
A004540,깨끗한나라,1975,12,2013,Annual,2.48,18.61,3.22,14.55,8.38,103.33,8.14,11.21,2.22,52.75,7.19,23.25,11.81,70.51,0.24,15.38,60.36,152.29,0.31,1.48,2.24,4.39,4.51,13.35,5.97,26.19,64.74,43.82,9.16,16.84,2.03,-1.05,1.11,0.91,0.93,1.02,0.0,1.08,0.83,-0.01,0,0.0
A004540,깨끗한나라,1975,12,2014,Annual,0.4,17.35,1.07,4.29,0.67,101.08,0.61,1.61,1.39,1.22,3.31,-66.36,-83.61,69.77,0.29,16.29,61.57,160.21,0.53,1.43,2.34,3.66,4.01,9.52,4.07,14.87,60.43,37.46,8.86,15.02,1.95,-0.46,0.96,1.07,1.24,1.01,0.0,1.06,1.02,-0.02,0,0.0
A004540,깨끗한나라,1975,12,2015,Annual,-0.21,16.92,0.58,2.25,-1.57,100.59,-1.44,-0.85,3.38,13.05,10.34,-43.61,-153.49,69.67,0.21,16.34,60.68,154.34,0.69,1.37,2.25,3.53,3.86,7.95,3.54,12.49,55.5,34.71,9.15,13.5,1.88,-0.28,0.99,1.03,1.09,1.03,0.0,1.0,0.99,-0.02,0,0.0
A004540,깨끗한나라,1975,12,2016,Annual,1.08,19.18,2.6,9.75,5.56,102.67,5.04,3.97,4.04,3.2,-0.32,363.51,-641.3,69.0,0.16,16.58,59.69,148.05,1.31,1.36,2.25,3.4,3.76,10.56,4.69,15.96,55.7,35.79,8.9,13.59,1.86,-1.99,1.07,0.88,0.97,1.04,0.0,1.01,0.98,-0.06,0,0.0
A004540,깨끗한나라,1975,12,2017,Annual,-3.36,14.1,-3.83,-13.43,-12.47,96.31,-11.76,-11.96,-6.53,-10.69,6.5,-237.74,-390.94,66.99,0.11,17.93,67.18,204.65,1.13,1.2,1.89,3.31,3.51,1.3,0.69,2.28,54.38,33.45,7.71,11.37,1.68,0.12,1.13,1.36,1.13,0.93,0.0,1.08,1.13,-0.04,0,0.0
A004540,깨끗한나라,1975,12,2018,Annual,-5.37,8.25,-4.67,-15.54,-16.85,95.54,-17.46,-17.97,-5.09,-7.15,-7.65,15.69,51.63,59.15,0.16,12.92,70.86,243.17,1.14,1.07,1.55,3.45,3.33,-1.53,-0.99,-3.42,50.69,28.87,7.35,9.21,1.49,1.58,0.99,1.71,3.46,0.95,0.0,0.72,1.05,-0.01,0,0.0
A004540,깨끗한나라,1975,12,2019,Annual,-1.98,14.37,0.87,4.56,-14.16,100.87,-9.48,-10.75,-5.14,-7.0,-3.28,-117.62,-64.97,63.71,0.25,13.51,69.82,231.35,1.37,1.04,1.48,3.52,5.27,4.52,3.04,10.73,46.82,29.63,8.33,10.43,1.39,-3.63,0.77,0.57,1.13,0.95,0.0,1.05,0.99,-0.04,0,0.0
A004540,깨끗한나라,1975,12,2020,Annual,6.47,21.62,8.8,138.44,117.35,109.65,23.27,101.31,-0.44,33.47,8.93,911.26,-424.88,66.34,0.43,12.82,61.49,159.7,0.89,1.07,1.64,3.12,15.73,18.92,11.55,36.02,65.76,40.03,9.63,13.3,1.37,-1.8,1.05,0.66,0.84,1.0,0.0,0.95,0.88,-0.02,0,0.0
A004540,깨끗한나라,1975,12,2021,Annual,1.44,15.92,2.25,34.69,26.59,102.31,4.48,22.24,-2.17,5.85,5.51,-74.94,-78.16,65.83,0.88,13.67,61.67,160.88,1.6,1.0,1.62,2.59,15.39,11.35,7.01,18.19,80.7,52.58,8.65,12.48,1.27,-0.65,1.16,1.36,0.97,0.98,0.0,1.07,1.0,-0.03,0,0.0
A004540,깨끗한나라,1975,12,2022,Annual,-0.48,13.04,0.62,9.98,-7.11,100.62,-1.14,-7.73,4.79,5.17,4.92,-71.22,-134.78,62.55,1.02,12.42,63.49,173.9,1.07,0.96,1.54,2.58,16.13,7.97,5.18,13.35,80.32,44.65,9.17,9.67,1.28,0.09,0.82,1.22,0.87,1.05,0.0,0.91,1.03,0.01,0,0.0
A001260,남광토건,1976,12,2013,Annual,-14.72,-1.57,-8.19,-14.55,-26.15,92.43,-111.57,-26.1,-27.7,-40.09,-5.62,-84.37,-86.05,6.38,1.49,6.62,93.86,1528.62,3.35,0.64,0.69,7.58,1.78,-9.86,-14.21,-107.71,112.43,108.23,4.55,23.93,2.7,3.24,8.55,0.87,2.6,0.72,0.02,0.18,1.05,-0.08,0,0.0
A001260,남광토건,1976,12,2014,Annual,-38.04,-10.37,-14.51,-101.11,-265.06,87.33,160.78,-265.06,-2.06,-334.44,-2.56,73.61,153.15,5.42,1.02,4.14,112.54,-897.26,4.03,0.57,0.55,0.0,6.97,-20.45,-37.48,0.0,86.81,82.51,3.97,25.03,1.22,0.38,0.31,0.15,2.28,0.98,0.02,0.63,1.2,-0.08,0,0.0
A001260,남광토건,1976,12,2015,Annual,-25.47,-13.28,-16.84,-112.73,-170.53,85.59,-195.31,-170.53,8.52,-159.83,-1.45,25.96,-27.32,11.73,1.82,3.56,83.51,506.58,11.51,0.79,0.76,0.0,6.69,-19.22,-25.14,0.0,91.17,90.38,11.23,52.03,1.48,-0.26,0.61,0.78,0.48,1.09,0.02,0.86,0.74,-0.24,0,0.0
A001260,남광토건,1976,12,2016,Annual,-1.17,-0.6,-5.06,-18.98,-5.11,95.18,-6.25,-4.39,-39.28,3.07,-91.0,-81.74,-97.21,1.43,1.13,4.46,76.89,332.68,15.43,0.88,1.1,4.58,3.75,-1.1,-1.0,-4.6,96.75,96.14,5.85,184.01,2.39,-0.14,3.19,22.0,1.32,0.61,0.01,1.25,0.92,-0.03,0,0.0
A001260,남광토건,1976,12,2017,Annual,1.47,8.79,1.58,3.73,3.21,101.61,3.75,3.47,-37.03,6.54,38.32,-119.67,-179.11,2.1,1.08,7.21,73.97,284.24,18.23,0.68,0.9,2.75,2.36,1.62,1.81,4.97,97.77,97.65,3.0,273.5,1.84,0.64,1.37,-0.07,1.03,0.63,0.06,1.62,0.96,0.0,0,0.0
A001260,남광토건,1976,12,2018,Annual,3.64,15.78,7.09,22.68,11.68,107.63,12.42,11.64,35.95,13.4,-0.58,509.09,236.17,2.33,1.09,8.69,67.02,203.19,25.39,1.0,1.41,3.4,3.2,5.54,3.93,13.37,105.54,105.41,5.72,1235.4,2.8,2.1,0.4,0.56,0.88,1.36,0.06,1.21,0.91,0.04,0,0.0
A001260,남광토건,1976,12,2019,Annual,1.64,9.5,2.04,9.81,7.86,102.08,7.57,7.86,50.27,7.66,-6.78,-56.73,-32.4,1.6,0.78,7.46,73.9,283.12,20.28,1.34,1.89,4.63,4.81,3.97,2.1,9.71,101.11,101.02,7.83,1856.41,4.27,0.18,1.42,1.66,0.91,1.5,0.06,0.86,1.1,0.03,0,0.0
A001260,남광토건,1976,12,2020,Annual,5.78,14.32,6.39,30.96,27.98,106.83,23.07,28.0,0.75,25.4,-8.18,215.6,256.16,1.46,0.77,7.93,67.5,207.71,23.68,1.17,1.66,3.99,4.84,10.42,6.29,25.12,97.42,97.32,9.38,1870.41,3.47,-2.61,0.23,0.66,1.27,1.01,0.17,1.06,0.91,-0.11,0,0.0
A001260,남광토건,1976,12,2021,Annual,6.08,11.52,5.83,42.33,48.62,106.19,31.02,44.11,49.92,32.34,-10.62,36.73,57.54,0.97,0.57,5.69,67.97,212.24,23.01,1.49,2.2,4.63,7.26,14.83,6.73,31.19,120.24,120.24,33.72,5608.06,4.93,4.63,0.79,1.24,0.66,1.5,0.17,0.72,1.01,0.12,0,0.0
A001260,남광토건,1976,12,2022,Annual,4.29,7.85,2.47,22.62,32.06,102.53,16.18,39.34,26.25,21.95,2.73,-46.57,-10.83,0.79,0.45,5.38,69.07,223.29,22.11,1.45,2.12,4.63,9.16,10.38,4.9,22.65,121.77,121.77,55.16,0.0,5.97,-2.44,0.33,1.47,0.97,1.26,0.2,0.95,1.02,-0.05,0,0.0
A008350,남선알미늄,1978,12,2013,Annual,2.73,11.59,3.85,24.62,21.16,104.0,17.69,17.48,14.53,15.48,-1.94,-446.17,-158.39,28.24,0.08,7.74,70.19,235.43,0.22,1.49,2.07,5.35,6.4,8.86,4.29,22.93,89.05,75.12,4.18,19.7,2.91,-4.04,0.89,0.68,1.01,1.15,0.01,0.85,0.95,-0.01,0,0.0
A008350,남선알미늄,1978,12,2014,Annual,5.16,11.39,4.08,25.21,21.36,104.25,14.91,31.87,-3.42,23.49,0.34,2.41,82.32,28.02,0.03,7.31,63.6,174.75,0.82,1.43,2.14,4.31,6.18,14.54,6.81,29.36,96.51,78.98,4.15,17.23,2.8,-3.37,0.96,1.02,1.01,0.97,0.01,0.94,0.91,0.0,0,0.0
A008350,남선알미늄,1978,12,2015,Annual,4.25,12.55,4.88,30.96,32.92,105.13,19.09,26.94,2.64,17.84,-3.38,22.78,-15.47,22.74,0.03,7.67,63.98,177.59,3.19,1.33,2.09,3.68,6.34,12.25,5.87,21.6,107.58,76.34,4.39,10.36,2.81,3.25,0.99,0.91,0.94,1.03,0.01,1.05,1.01,0.11,0,0.0
A008350,남선알미늄,1978,12,2016,Annual,5.09,11.74,6.03,43.77,48.04,106.42,23.52,36.93,14.39,18.92,-1.42,41.39,37.08,22.63,0.02,5.7,56.75,131.23,0.33,1.41,2.33,3.55,7.25,14.97,6.42,22.81,106.64,73.73,4.96,9.01,2.95,-2.64,0.88,1.07,1.32,1.14,0.01,0.74,0.89,-0.06,0,0.0
A008350,남선알미늄,1978,12,2017,Annual,5.43,11.05,5.18,37.56,51.26,105.46,20.95,39.36,-0.02,20.59,-3.16,-14.18,6.58,21.82,0.02,5.87,48.07,92.58,1.41,1.41,2.69,2.96,7.25,18.05,6.7,19.87,130.39,107.44,4.92,11.94,2.76,-2.11,1.0,1.06,1.03,1.0,0.01,1.03,0.85,-0.03,0,0.0
A008350,남선알미늄,1978,12,2018,Annual,7.25,10.03,2.71,17.06,56.68,102.79,19.79,45.65,-13.19,14.15,22.39,-54.57,16.0,25.08,0.02,7.32,44.32,79.6,4.47,1.18,2.57,2.2,6.3,22.51,8.77,19.28,141.88,123.31,4.55,16.84,2.17,-2.95,1.01,1.1,1.1,0.87,0.01,1.25,0.92,-0.05,0,0.0
A008350,남선알미늄,1978,12,2019,Annual,4.46,10.74,3.57,20.96,33.16,103.7,10.53,26.21,-6.63,6.15,-3.2,22.84,-42.59,24.9,0.02,7.18,39.4,65.01,9.35,1.09,2.59,1.87,5.88,15.92,6.14,11.47,164.72,141.79,5.08,19.32,1.86,-10.54,0.85,0.93,1.06,0.93,0.01,0.98,0.89,-0.05,0,0.0
A008350,남선알미늄,1978,12,2020,Annual,3.93,7.12,-0.56,-2.74,23.4,99.44,7.01,19.08,-17.34,5.83,-10.24,-113.09,-27.22,22.38,0.02,7.69,35.78,55.72,5.61,0.91,2.42,1.46,4.86,14.43,5.97,8.69,176.61,139.07,5.04,13.21,1.5,-9.33,1.07,1.51,1.15,0.83,0.01,1.07,0.91,0.03,0,0.0
A008350,남선알미늄,1978,12,2021,Annual,18.1,6.24,-3.0,-12.51,90.6,97.09,23.53,75.46,-14.2,24.47,-7.93,356.17,295.58,17.12,0.02,9.24,33.59,50.57,7.16,0.71,2.05,1.08,4.17,41.63,20.33,22.01,168.06,115.33,5.23,7.62,1.09,1.71,0.89,1.14,1.27,0.86,0.01,1.2,0.94,-0.05,0,0.0
A008350,남선알미늄,1978,12,2022,Annual,10.92,7.07,-0.97,-4.15,50.77,99.04,11.22,46.57,11.03,29.97,-2.52,-63.98,-33.01,14.77,0.02,8.04,23.57,30.84,13.34,0.68,2.39,0.94,4.26,30.06,12.57,11.85,274.67,207.1,6.83,7.34,1.01,-0.81,0.87,0.88,1.03,1.11,0.01,0.87,0.7,0.01,0,0.0
A004270,남성,1989,12,2013,Annual,-1.0,24.15,2.8,11.3,-1.64,102.88,-0.38,-3.66,7.43,-2.19,-3.48,-5794.43,-89.32,3.97,0.49,21.34,60.92,155.9,1.03,0.35,0.55,0.92,4.04,0.81,1.45,1.34,61.65,44.52,4.44,3.82,0.5,1.41,0.54,1.01,0.99,1.07,0.07,0.87,0.95,-0.07,0,0.0
A004270,남성,1989,12,2014,Annual,-5.76,25.3,2.29,8.74,-18.57,102.35,-4.46,-21.85,-5.49,-7.09,0.0,-22.66,442.6,4.07,0.56,23.0,62.85,169.15,1.46,0.35,0.56,0.92,3.81,-1.84,-3.27,-2.99,58.06,37.22,7.45,3.51,0.51,4.08,0.56,0.95,1.0,0.95,0.07,1.08,1.03,0.04,0,0.0
A004270,남성,1989,12,2015,Annual,-0.69,25.4,3.67,15.39,-1.72,103.81,-0.43,-2.4,9.85,-2.27,-2.74,76.04,-86.9,3.83,0.54,21.73,64.81,184.16,1.15,0.38,0.6,1.06,4.19,0.99,1.65,1.75,60.34,36.51,9.15,3.24,0.56,-45.69,1.43,1.0,1.0,1.1,0.07,0.94,1.03,0.05,1,0.0
A004270,남성,1989,12,2016,Annual,1.59,26.46,5.45,25.18,9.62,105.76,2.41,7.51,10.36,3.37,0.81,63.63,-354.97,3.81,0.53,21.02,64.12,178.71,1.53,0.41,0.64,1.16,4.62,2.33,3.65,4.23,54.94,29.24,8.28,3.08,0.6,1.85,0.9,0.96,1.01,1.1,0.07,0.97,0.99,-0.01,0,0.0
A004270,남성,1989,12,2017,Annual,1.47,27.08,7.84,39.82,18.47,108.5,4.16,7.48,9.87,19.09,-1.65,58.15,2.18,3.77,0.46,19.24,57.04,132.78,1.98,0.45,0.74,1.14,5.08,2.49,3.35,3.83,67.27,37.67,9.81,3.15,0.66,-6.01,0.78,0.98,0.98,1.1,0.07,0.92,0.89,0.0,0,0.0
A004270,남성,1989,12,2018,Annual,-4.3,22.9,1.17,5.39,-15.62,101.19,-3.32,-19.37,-9.5,-5.29,-1.74,-86.45,-363.62,3.67,0.45,21.72,59.64,147.78,2.89,0.41,0.7,0.98,4.6,-1.5,-2.15,-2.1,75.16,49.05,8.72,2.96,0.63,-0.23,1.33,1.18,0.91,0.9,0.08,1.13,1.05,-0.0,0,0.0
A004270,남성,1989,12,2019,Annual,-3.01,25.9,0.63,2.55,-8.47,100.64,-1.82,-11.79,-12.37,3.81,6.37,-52.77,-38.59,3.91,0.35,25.27,58.04,138.34,3.94,0.36,0.6,0.86,4.03,-0.19,-0.31,-0.27,92.46,56.17,7.84,2.47,0.58,-2.78,0.89,0.88,0.97,0.88,0.08,1.16,0.97,0.04,1,0.0
A004270,남성,1989,12,2020,Annual,-10.95,20.66,-1.51,-7.72,-14.9,98.51,-2.8,-55.0,26.84,23.94,3.35,-403.03,361.25,3.55,0.16,22.17,54.3,118.83,6.47,0.42,0.75,0.96,5.11,-7.42,-9.85,-9.47,87.57,59.74,9.11,3.14,0.68,0.34,1.17,1.25,1.06,1.27,0.09,0.88,0.94,-0.01,0,0.0
A004270,남성,1989,12,2021,Annual,6.72,27.85,6.79,38.36,48.81,107.28,7.83,37.87,10.58,12.07,-38.9,-596.85,-167.83,1.75,0.03,21.06,58.67,141.96,4.93,0.39,0.69,0.91,5.65,5.53,8.0,7.25,105.64,66.74,7.48,2.78,0.66,0.14,1.13,0.74,0.91,1.11,0.09,0.95,1.08,0.03,0,0.0
A004270,남성,1989,12,2022,Annual,3.23,26.96,2.59,14.03,21.98,102.66,3.33,17.63,-4.09,0.13,-17.5,-63.43,-53.9,1.54,0.02,24.37,55.93,126.91,2.56,0.35,0.61,0.82,5.42,2.79,4.56,3.75,81.46,53.56,9.18,2.4,0.59,1.24,0.42,1.03,1.11,0.96,0.21,1.16,0.95,0.03,0,0.0
A003920,남양유업,1978,12,2012,Annual,4.47,30.34,4.67,1437.51,1711.49,104.9,8.98,1377.57,10.72,6.33,36.82,15.26,27.3,27.6,0.68,25.67,15.72,18.66,13.32,1.33,7.68,1.62,307.9,48.46,6.31,10.2,482.51,365.37,8.37,10.24,3.66,-7.01,0.96,0.99,1.0,1.11,0.02,1.0,0.82,0.16,0,0.0
A003920,남양유업,1978,12,2013,Annual,-3.7,25.71,-1.42,-393.67,-769.47,98.6,-4.02,-1027.22,-9.9,-5.09,22.37,-127.39,-174.57,35.78,0.79,27.13,15.27,18.03,6.31,1.22,7.9,1.45,277.41,-12.03,-1.52,-2.21,421.59,294.09,8.05,8.01,2.82,2.79,0.91,1.18,0.92,0.9,0.02,1.06,0.97,0.04,1,0.0
A003920,남양유업,1978,12,2014,Annual,0.01,25.48,-2.26,-587.78,9.64,97.79,0.05,3.71,-6.35,-0.31,-4.1,49.31,-100.36,34.75,0.75,27.74,14.46,16.9,6.09,1.19,7.99,1.4,259.78,28.62,3.58,5.0,465.36,293.54,8.54,6.74,2.51,-1.04,1.02,1.01,1.15,0.94,0.02,1.02,0.95,0.02,0,0.0
A003920,남양유업,1978,12,2015,Annual,2.19,28.06,1.66,454.09,857.82,101.68,4.55,601.29,5.5,3.06,-5.07,-177.26,16125.09,31.96,0.73,26.41,14.59,17.08,5.49,1.24,8.55,1.45,274.07,47.55,5.56,8.08,449.44,304.15,8.7,6.94,2.57,-0.92,1.06,0.91,1.29,1.05,0.02,0.95,1.01,-0.04,1,0.0
A003920,남양유업,1978,12,2016,Annual,3.0,27.19,3.38,943.5,1036.66,103.49,5.29,838.57,1.99,4.73,0.58,107.78,39.46,30.68,0.54,23.82,14.61,17.12,9.27,1.22,8.34,1.43,279.51,50.18,6.02,8.58,445.37,357.71,8.2,8.65,2.73,-1.55,1.03,1.03,0.59,1.02,0.01,0.9,1.0,-0.08,0,0.0
A003920,남양유업,1978,12,2017,Annual,0.43,25.77,0.44,114.59,225.25,100.44,1.12,113.25,-5.83,0.64,4.68,-87.85,-86.49,32.3,0.54,25.33,13.59,15.72,8.07,1.12,7.97,1.31,263.23,29.15,3.66,4.79,474.47,371.53,7.4,9.21,2.74,-0.5,1.11,1.06,0.93,0.94,0.01,1.06,0.93,-0.01,0,0.0
A003920,남양유업,1978,12,2018,Annual,0.19,24.94,0.8,193.7,174.69,100.8,0.87,45.46,-7.47,-0.69,8.25,69.03,-59.86,34.4,0.55,24.14,15.56,18.43,7.55,1.03,7.09,1.21,243.55,27.25,3.84,4.65,422.82,332.11,6.99,8.11,2.53,-0.93,0.99,1.03,0.64,0.93,0.02,0.95,1.15,-0.03,0,0.0
A003920,남양유업,1978,12,2019,Annual,2.84,23.98,0.04,9.41,878.58,100.04,4.33,659.35,-4.53,2.63,8.45,-95.14,1350.45,37.17,1.87,23.94,13.64,15.8,6.64,0.98,6.69,1.14,232.52,53.17,7.94,9.09,543.09,388.6,6.91,7.1,2.21,-0.91,1.06,1.04,1.88,0.95,0.02,0.99,0.88,0.01,0,0.0
A003920,남양유업,1978,12,2020,Annual,-5.56,17.96,-8.09,-1730.86,-1543.79,92.52,-7.67,-1189.9,-7.95,-4.28,-3.44,-18486.08,-280.46,37.88,2.03,26.05,12.77,14.64,6.48,0.92,6.98,1.06,214.04,4.26,0.61,0.65,521.55,306.57,6.68,5.2,1.89,-0.92,0.97,1.34,1.03,0.92,0.02,1.09,0.94,-0.03,0,0.0
A003920,남양유업,1978,12,2021,Annual,-6.16,15.75,-8.14,-1756.11,-1660.89,92.47,-8.73,-1328.38,0.75,-6.9,-9.19,1.46,11.64,36.73,1.48,23.89,13.28,15.31,12.68,0.99,7.58,1.13,215.66,-3.28,-0.43,-0.49,495.52,314.83,7.67,4.97,2.01,1.59,0.85,1.14,1.06,1.01,0.03,0.92,1.04,-0.12,0,0.0
A003920,남양유업,1978,12,2022,Annual,-8.13,15.56,-9.0,-1958.06,-2192.94,91.74,-12.54,-1769.39,0.9,-9.23,-6.71,11.5,33.2,35.6,1.16,24.56,18.21,22.27,8.82,1.05,6.68,1.24,217.59,-26.47,-3.96,-4.93,307.78,186.83,8.39,5.45,2.14,5.5,0.99,1.01,1.15,1.01,0.02,1.03,1.37,-0.03,0,0.0
A025860,남해화학,1995,12,2013,Annual,0.93,7.56,1.49,41.85,32.72,101.52,4.67,26.06,-5.26,3.8,-5.59,-153.16,-151.96,29.68,0.33,6.07,29.71,42.27,4.2,2.61,7.49,4.0,28.01,14.02,1.87,7.49,202.53,109.92,11.29,9.14,6.6,-26.49,0.99,0.74,1.08,0.95,0.01,0.73,0.75,-0.11,0,0.0
A025860,남해화학,1995,12,2014,Annual,1.45,8.45,1.46,36.67,46.06,101.48,6.33,36.56,-10.05,3.93,-1.62,-12.38,40.3,28.3,0.33,6.99,29.19,41.22,8.59,2.44,8.3,3.46,25.2,20.62,2.48,8.61,218.41,116.02,11.01,8.7,6.21,-6.39,1.0,0.9,0.88,0.9,0.01,1.15,0.98,-0.09,0,0.0
A025860,남해화학,1995,12,2015,Annual,1.74,9.05,2.05,48.54,52.07,102.1,6.86,41.17,-6.12,4.72,4.11,32.37,12.6,29.68,0.27,7.0,25.3,33.87,17.93,2.27,8.32,3.12,23.65,23.77,2.86,8.9,251.3,161.72,11.67,8.9,5.91,-7.92,0.93,0.93,0.92,0.94,0.01,1.0,0.87,-0.11,0,0.0
A025860,남해화학,1995,12,2016,Annual,1.31,8.53,1.16,25.64,37.61,101.18,4.77,29.19,-6.69,3.21,11.06,-47.18,-29.58,32.08,0.31,7.37,24.97,33.28,17.48,2.1,8.34,2.8,22.07,21.49,2.58,7.22,245.9,161.0,11.39,9.87,5.3,-1.73,1.13,1.06,0.92,0.93,0.01,1.05,0.99,-0.08,0,0.0
A025860,남해화학,1995,12,2017,Annual,2.38,9.53,2.51,56.61,69.92,102.57,8.48,54.05,2.36,5.88,1.77,120.8,85.41,31.08,0.13,7.02,24.37,32.22,22.03,2.06,8.37,2.74,22.59,31.54,3.77,10.32,264.8,172.27,12.74,9.77,5.26,-1.59,0.76,0.9,0.85,1.02,0.01,0.95,0.98,-0.0,0,0.0
A025860,남해화학,1995,12,2018,Annual,0.67,8.4,1.37,34.22,31.64,101.39,3.72,16.81,10.72,0.78,-1.21,-39.55,-68.73,31.22,0.16,7.03,22.49,29.01,3.51,2.25,9.6,2.94,25.02,17.41,1.81,5.33,314.71,194.48,15.63,9.91,5.93,-0.07,0.95,1.13,0.93,1.11,0.01,1.0,0.92,0.02,0,0.0
A025860,남해화학,1995,12,2019,Annual,1.35,9.06,1.29,30.86,44.32,101.31,5.13,32.29,-4.47,2.18,0.59,-9.83,92.1,29.61,0.13,7.77,25.33,33.92,6.19,2.1,8.78,2.77,23.9,23.2,2.64,7.31,295.0,182.96,16.08,8.72,5.73,-1.57,0.84,0.93,0.93,0.96,0.01,1.1,1.13,-0.05,0,0.0
A025860,남해화학,1995,12,2020,Annual,2.48,11.56,2.61,53.12,65.28,102.68,7.31,50.41,-14.94,4.37,-0.51,72.15,56.13,29.04,0.13,8.94,23.16,30.14,7.5,1.73,7.12,2.28,20.33,29.16,4.1,9.33,322.47,211.64,15.61,7.38,4.88,-1.57,1.13,0.78,0.98,0.85,0.01,1.15,0.91,-0.04,0,0.0
A025860,남해화학,1995,12,2021,Annual,1.49,8.32,1.41,41.23,49.23,101.43,5.29,43.61,43.77,4.13,-3.51,-22.39,-13.49,22.97,0.09,6.91,34.42,52.48,6.89,2.22,7.56,3.14,29.23,19.52,2.58,8.11,216.82,99.74,16.71,7.2,6.88,-1.56,1.21,1.39,1.18,1.44,0.01,0.77,1.49,0.19,0,0.0
A025860,남해화학,1995,12,2022,Annual,2.17,8.03,2.88,125.99,131.26,102.97,13.13,95.13,49.43,10.68,33.07,205.59,117.44,24.34,0.65,5.14,42.19,72.97,2.78,2.68,6.9,4.37,43.67,20.31,2.94,12.84,171.08,64.23,14.91,6.59,8.67,3.83,1.1,1.04,1.02,1.49,0.02,0.74,1.23,0.18,0,0.0
A005720,넥센,1987,12,2012,Annual,21.35,33.37,25.29,415.66,396.52,133.85,19.89,350.84,24.08,64.76,8.56,477.53,89.66,15.07,0.6,8.08,26.97,36.94,2.26,0.56,1.76,0.82,16.44,40.58,23.1,19.04,106.79,78.24,7.17,9.47,0.72,-4.35,0.84,0.43,1.24,1.24,0.01,0.91,0.7,0.07,0,0.0
A005720,넥센,1987,12,2013,Annual,18.19,30.49,22.2,309.54,294.86,128.53,14.35,249.27,8.94,12.72,1.27,-4.38,-7.19,13.98,0.58,8.29,24.62,32.67,2.97,0.5,1.96,0.68,13.94,38.78,19.82,13.45,108.49,81.94,7.56,11.09,0.61,-3.87,0.94,1.09,1.02,1.09,0.01,1.03,0.91,0.08,0,0.0
A005720,넥센,1987,12,2014,Annual,22.28,34.03,24.9,323.93,325.55,133.16,14.18,286.91,-6.72,10.82,13.49,4.65,14.28,14.92,0.58,9.13,21.46,27.32,2.91,0.44,1.9,0.57,13.01,46.1,24.3,13.76,97.57,75.3,7.52,11.92,0.52,-1.25,0.91,0.9,1.05,0.93,0.01,1.1,0.87,0.07,0,0.0
A005720,넥센,1987,12,2015,Annual,25.41,38.64,28.02,314.87,312.92,138.92,12.33,285.58,-13.6,10.24,-1.5,-2.8,-1.46,13.93,0.56,10.62,17.91,21.82,3.51,0.36,1.81,0.44,11.24,50.42,27.82,12.32,130.13,103.65,7.15,12.54,0.41,-6.16,1.13,0.88,1.02,0.86,0.01,1.16,0.83,0.05,0,0.0
