Symbol,Name,상장연도,결산월,회계년,주기,당기순이익률(%),매출총이익률(%),영업이익률(%),자본금영업이익률(%),자본금세전계속사업이익률(%),*영업수익/영업비용(%),ROE(세전계속사업이익)(%),자본금지배주주순이익률(%),매출액증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),현금및현금성자산구성비율(%),총자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),현금흐름/총부채(%),현금흐름/영업수익(%),현금흐름/총자본(%),유동비율(%),당좌비율(%),매출채권회전율,재고자산회전율,고정자산회전율,영업현금흐름/투자현금흐름(%),DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,벤포드,분식기업
A017940,E1,1997,12,2022,Annual,1.77,7.1,3.49,812.63,565.02,103.61,13.44,413.58,55.09,9.97,-1.68,4899.37,2.09,21.15,0.67,3.61,65.2,187.33,1.67,1.92,2.93,5.54,232.97,9.37,3.2,17.72,112.81,80.66,11.19,15.73,3.34,0.21,0.85,0.74,0.96,1.55,0.04,0.7,0.99,0.07,0,0.0
A383220,F&F,2021,12,2022,Annual,24.47,70.55,29.02,13701.98,15798.5,140.88,81.54,11532.03,66.08,74.26,7.95,62.66,96.08,4.92,8.46,41.53,39.93,66.48,6.49,1.33,2.95,2.44,472.21,85.16,28.86,70.34,104.39,52.74,15.77,6.7,2.1,-2.16,0.78,1.04,0.95,1.66,0.28,0.95,0.76,0.1,1,0.0
A007700,F&F홀딩스,1984,12,2012,Annual,4.04,56.83,3.49,91.0,129.19,103.62,5.93,105.22,-7.98,3.49,15.59,-65.49,-58.86,34.33,0.58,53.34,19.61,24.4,0.07,0.97,5.25,1.2,26.07,33.91,6.45,7.72,247.74,101.71,6.81,4.21,1.58,-0.76,1.29,1.07,0.9,0.92,0.07,1.04,1.13,-0.01,1,0.0
A007700,F&F홀딩스,1984,12,2013,Annual,3.77,59.3,3.23,93.37,133.1,103.34,5.89,108.76,10.77,4.0,15.64,2.61,3.36,30.34,0.55,56.06,36.1,56.5,0.03,0.91,3.13,1.28,28.88,18.31,5.84,7.46,185.99,75.12,5.78,3.79,1.52,0.25,1.27,0.96,1.03,1.11,0.06,1.05,1.84,0.06,0,0.0
A007700,F&F홀딩스,1984,12,2014,Annual,4.64,60.25,4.01,156.77,226.44,104.17,9.5,181.57,35.54,6.77,12.78,67.9,66.95,29.46,0.4,56.24,41.26,70.25,0.07,1.0,2.58,1.64,39.14,17.59,6.81,11.19,225.51,76.26,6.38,3.51,1.83,41.04,0.81,0.98,0.81,1.36,0.05,1.0,1.14,0.1,0,0.0
A007700,F&F홀딩스,1984,12,2015,Annual,3.36,57.4,5.07,243.63,217.57,105.34,8.61,161.56,22.76,5.34,-14.6,55.4,-11.02,24.35,0.26,52.33,40.13,67.02,0.03,1.13,2.77,1.9,48.05,14.92,5.38,10.23,150.88,50.0,7.29,3.49,2.2,-3.37,0.86,1.05,1.18,1.23,0.05,0.93,0.97,0.01,0,0.0
A007700,F&F홀딩스,1984,12,2016,Annual,6.89,58.23,10.39,592.48,533.15,111.6,19.26,392.57,18.64,13.56,-4.82,143.19,142.98,25.29,0.33,47.83,25.81,34.79,3.27,1.37,4.13,2.06,57.01,35.06,8.49,17.49,251.31,111.86,8.02,4.39,2.81,3.34,0.93,0.99,0.81,1.19,0.07,0.91,0.64,-0.03,1,0.0
A007700,F&F홀딩스,1984,12,2017,Annual,13.36,65.7,17.5,1274.22,1291.94,121.22,38.07,972.57,27.69,30.55,6.4,115.06,147.74,20.55,0.83,48.2,26.03,35.19,8.07,1.59,6.13,2.14,72.79,90.37,14.75,31.64,245.01,144.63,7.59,5.75,3.89,-1.72,1.23,0.89,0.74,1.28,0.07,1.01,1.01,0.08,0,0.0
A007700,F&F홀딩스,1984,12,2018,Annual,16.35,65.88,13.68,1187.75,1830.61,115.85,40.81,1417.85,19.24,33.4,70.43,-6.79,45.95,28.26,2.24,52.19,20.38,25.59,3.49,1.49,6.51,1.94,86.8,115.84,17.78,34.41,291.83,132.39,7.66,5.08,3.82,-0.83,0.78,1.0,0.82,1.19,0.07,1.08,0.78,0.13,0,0.0
A007700,F&F홀딩스,1984,12,2019,Annual,12.08,67.77,16.56,1957.61,1960.7,119.84,34.37,1431.17,36.21,22.53,14.59,64.82,0.59,23.46,1.68,51.22,29.32,41.49,6.56,1.54,6.03,2.07,118.23,93.04,15.42,31.96,247.92,138.89,10.93,5.43,3.72,-1.48,0.72,0.97,1.39,1.36,0.06,0.98,1.44,-0.02,1,0.0
A007700,F&F홀딩스,1984,12,2020,Annual,413.35,47.26,-21.19,-56.84,-51.49,82.51,-0.77,1114.22,-97.73,14.06,3.32,-102.9,-22.36,20.29,3.14,68.46,32.54,48.23,9.21,0.03,0.09,0.04,2.68,52.0,587.69,23.44,215.05,150.18,0.27,0.12,0.07,-1.11,37.73,1.43,0.88,0.02,0.15,1.34,1.11,-0.19,0,0.0
A007700,F&F홀딩스,1984,12,2021,Annual,275.25,71.09,28.77,1534.91,1582.79,140.39,14.12,13992.67,3421.1,353.83,36.72,-4879.59,2244.71,7.15,54.74,42.32,21.06,26.68,2.24,0.36,1.56,0.48,53.35,417.15,267.96,127.53,85.01,42.52,8.44,3.62,0.49,3.08,0.04,0.66,4.88,35.21,0.02,0.62,0.65,-0.02,1,0.0
A007700,F&F홀딩스,1984,12,2022,Annual,22.98,70.39,26.76,2486.2,2967.74,136.54,21.52,675.96,149.86,15.38,2.8,132.44,-79.14,6.49,50.45,43.63,19.64,24.44,4.08,0.54,2.64,0.67,92.9,35.75,13.52,9.11,121.21,69.88,15.53,6.7,0.65,-2.01,0.52,1.01,0.95,2.5,0.06,1.03,0.93,0.04,0,0.0
A006360,GS건설,1981,12,2012,Annual,0.99,7.99,1.84,69.04,71.39,101.87,4.62,33.85,5.7,-0.75,2.67,-59.15,-77.78,19.14,1.88,6.15,66.64,199.76,12.15,0.83,1.26,2.43,37.52,2.52,2.0,4.84,146.96,130.75,4.13,14.03,2.59,-0.58,0.66,1.44,1.22,1.06,0.0,0.92,1.03,0.0,0,0.0
A006360,GS건설,1981,12,2013,Annual,-8.65,-3.96,-9.78,-366.84,-389.48,91.09,-28.03,-324.78,-0.03,-19.58,-0.49,-631.31,-971.25,18.05,1.57,5.82,74.58,293.36,15.01,0.79,1.12,2.7,37.51,-8.43,-7.55,-20.37,137.11,128.98,4.66,13.98,2.42,17.76,1.16,-2.02,1.02,1.0,0.02,0.94,1.12,0.02,0,0.0
A006360,GS건설,1981,12,2014,Annual,-0.24,4.52,0.54,16.78,-9.71,100.54,-0.88,-13.47,-0.82,13.37,9.5,-105.47,-97.29,18.76,1.3,3.98,72.65,265.61,16.43,0.74,1.01,2.81,31.11,0.38,0.38,1.07,141.22,131.21,5.09,17.06,2.24,-1.71,0.7,-0.88,1.06,0.99,0.02,0.68,0.97,-0.04,1,0.0
A006360,GS건설,1981,12,2015,Annual,0.28,5.18,1.15,34.39,8.82,101.17,0.9,7.34,11.44,-6.52,-45.5,138.56,-231.28,10.29,1.11,4.02,74.26,288.45,18.67,0.81,1.1,3.05,29.78,1.14,1.04,3.16,133.76,122.62,5.9,15.01,2.68,-0.02,1.21,0.87,1.07,1.11,0.0,1.01,1.02,0.01,0,0.0
A006360,GS건설,1981,12,2016,Annual,-0.19,4.42,1.3,40.28,6.01,101.31,0.64,-7.26,4.38,0.15,-26.93,17.13,-169.31,7.31,1.45,3.13,74.93,298.92,17.62,0.84,1.12,3.29,31.09,0.43,0.38,1.25,134.76,123.34,5.18,13.62,3.11,-0.33,1.03,1.17,1.22,1.04,0.01,0.78,1.01,0.0,0,0.0
