Symbol,Name,상장연도,결산월,회계년,주기,ROE(세전계속사업이익)(%),총자본증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),부채비율(%),총자본회전율(회),현금흐름/총자본(%)
A011150,CJ씨푸드,1988,12,2017,Annual,10.20,8.63,11.96,-14.57,100.18,2.85,17.38
A011150,CJ씨푸드,1988,12,2018,Annual,4.94,2.85,-36.97,-53.06,104.83,2.47,13.27
A011150,CJ씨푸드,1988,12,2019,Annual,4.31,4.19,-10.49,-15.16,97.89,2.37,12.92
A011150,CJ씨푸드,1988,12,2020,Annual,4.96,2.34,7.09,15.19,105.49,2.29,13.17
A011150,CJ씨푸드,1988,12,2021,Annual,4.03,1.9,13.53,4.69,98.76,2.44,12.73
A011150,CJ씨푸드,1988,12,2022,Annual,9.35,12.78,-8.09,236.6,89.47,2.14,18.17
A000590,CS홀딩스,1975,12,2012,Annual,7.92,17.62,23.92,-9.17,13.95,0.83,5.12
A000590,CS홀딩스,1975,12,2013,Annual,8.81,6.44,21.87,21.74,14.78,0.73,5.27
A000590,CS홀딩스,1975,12,2014,Annual,9.05,10.1,17.84,10.37,16.03,0.66,4.55
A000590,CS홀딩스,1975,12,2015,Annual,15.36,9.57,8.1,106.12,15.89,0.59,10.08
A000590,CS홀딩스,1975,12,2016,Annual,8.23,6.52,-12.62,-42.11,12.23,0.49,4.49
A000590,CS홀딩스,1975,12,2017,Annual,6.52,2.88,-14.1,-16.77,12.25,0.46,3.03
A000590,CS홀딩스,1975,12,2018,Annual,5.85,1.98,-21.82,-11.38,10.8,0.45,3.22
A000590,CS홀딩스,1975,12,2019,Annual,7.28,4.15,27.82,31.35,9.83,0.48,4.81
A000590,CS홀딩스,1975,12,2020,Annual,4.82,3.29,-6.6,-28.72,9.53,0.45,3.70
A000590,CS홀딩스,1975,12,2021,Annual,8.43,5.63,23.56,77.99,13.3,0.52,6.04
A000590,CS홀딩스,1975,12,2022,Annual,7.10,5.84,-20.44,-10.81,10.2,0.55,5.56
A012030,DB,1993,12,2012,Annual,2.09,15.36,51.1,-41.89,134.28,1.97,2.76
A012030,DB,1993,12,2013,Annual,-32.17,-16.78,-50.48,적전,159.2,1.63,-21.60
A012030,DB,1993,12,2014,Annual,-91.06,-55.23,적전,적지,231.84,1.43,-66.44
A012030,DB,1993,12,2015,Annual,-24.78,50.41,흑전,흑전,66.56,1.48,12.15
A012030,DB,1993,12,2016,Annual,-9.00,-8.61,11.7,적전,41.85,1.29,-11.72
A012030,DB,1993,12,2017,Annual,-8.97,-8.19,-64.7,적지,41.95,1.35,0.68
A012030,DB,1993,12,2018,Annual,-3.38,-1.13,-57.89,적지,109.65,1.71,3.90
A012030,DB,1993,12,2019,Annual,5.58,53.37,"1,040.94",흑전,72.12,1.37,11.47
A012030,DB,1993,12,2020,Annual,4.45,48.68,45.32,42.38,50.62,1.04,5.44
A012030,DB,1993,12,2021,Annual,7.47,39.55,-12.66,246.11,37.51,0.87,7.71
A012030,DB,1993,12,2022,Annual,3.06,-34.9,0.58,-73.68,45.38,1.11,3.40
A000990,DB하이텍,1975,12,2012,Annual,-16.28,-5.57,적지,적지,298,1.97,26.58
