Symbol,Name,결산월,회계년,주기,매출총이익률(%),영업이익률(%),당기순이익률(%),자본금영업이익률(%),영업수익(천원),영업비용(천원),세전계속사업이익률(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%)
A207940,삼성바이오로직스,12,2013,Annual,10.00,"-149,132.07","-143,474.43",-117.11,"43,505","64,923,413","-143,474.43",-112.67,-112.67
A207940,삼성바이오로직스,12,2014,Annual,-18.75,-113.69,-94.81,-148.25,"105,148,784","224,689,970",-94.81,-123.63,-123.63
A207940,삼성바이오로직스,12,2015,Annual,-25.75,-223.10,"2,086.97",-169.93,"91,278,029","294,920,472","2,725.81","2,076.18","1,589.60"
A207940,삼성바이오로직스,12,2016,Annual,9.01,-10.33,-60.02,-20.06,"294,622,021","325,044,659",-78.37,-152.28,-116.62
A207940,삼성바이오로직스,12,2017,Annual,28.37,14.20,-20.87,39.89,"464,629,334","398,649,932",-24.97,-70.12,-58.62
A207940,삼성바이오로직스,12,2018,Annual,27.09,10.39,41.83,33.66,"535,805,801","480,127,057",56.55,183.16,135.49
A207940,삼성바이오로직스,12,2019,Annual,27.37,13.08,7.08,55.46,"701,591,860","609,849,473",9.57,40.60,30.01
A207940,삼성바이오로직스,12,2020,Annual,35.70,25.12,21.55,176.88,"1,164,776,874","872,188,328",24.12,169.81,151.72
A207940,삼성바이오로직스,12,2021,Annual,46.29,34.22,26.99,324.34,"1,568,006,928","1,031,512,259",34.88,330.61,255.83
A207940,삼성바이오로직스,12,2022,Annual,49.24,39.72,28.18,563.89,"2,437,286,112","1,469,235,518",37.87,537.58,400.06
A005380,현대차,12,2011,Annual,25.32,10.95,11.08,314.60,"42,774,077,000","38,089,664,000",13.72,394.16,318.40
A005380,현대차,12,2012,Annual,24.00,9.97,12.23,289.14,"43,162,401,000","38,857,177,000",14.80,428.91,354.57
A005380,현대차,12,2013,Annual,23.33,8.93,12.43,249.90,"41,691,171,000","37,970,163,000",15.17,424.67,347.99
A005380,현대차,12,2014,Annual,23.23,8.68,11.42,250.87,"43,045,875,000","39,310,379,000",14.19,410.16,330.15
A005380,현대차,12,2015,Annual,24.86,9.60,12.23,286.59,"44,439,694,000","40,172,438,000",15.03,448.63,365.07
A005380,현대차,12,2016,Annual,23.28,6.47,9.83,181.30,"41,713,632,000","39,014,150,000",11.85,331.99,275.48
A005380,현대차,12,2017,Annual,21.59,5.20,6.13,145.30,"41,604,869,000","39,441,422,000",7.40,206.65,171.35
A005380,현대차,12,2018,Annual,15.65,-0.14,0.87,-3.98,"43,160,108,000","43,219,430,000",1.64,47.68,25.18
A005380,현대차,12,2019,Annual,17.97,3.21,5.63,106.12,"49,155,693,000","47,575,529,000",6.49,214.23,185.88
A005380,현대차,12,2020,Annual,19.06,1.52,1.04,51.62,"50,661,002,000","49,892,376,000",1.04,35.38,35.39
A005380,현대차,12,2021,Annual,16.30,1.19,1.16,44.43,"55,605,120,000","54,943,497,000",1.78,66.48,43.35
A005380,현대차,12,2022,Annual,18.64,4.33,5.67,189.97,"65,308,350,000","62,479,781,000",6.39,280.42,248.62
A000270,기아,12,2011,Annual,21.00,6.89,6.51,90.27,"27,742,277,000","25,831,120,000",8.51,111.48,85.25
A000270,기아,12,2012,Annual,20.94,5.87,7.63,77.03,"28,007,913,000","26,362,581,000",9.32,122.21,100.04
A000270,기아,12,2013,Annual,20.24,5.23,9.11,69.26,"28,332,572,000","26,850,949,000",10.43,138.17,120.72
A000270,기아,12,2014,Annual,19.18,4.81,7.99,67.06,"29,850,115,000","28,415,468,000",9.35,130.48,111.54
A000270,기아,12,2015,Annual,21.19,7.02,7.67,107.28,"32,699,936,000","30,404,970,000",9.22,141.00,117.22
A000270,기아,12,2016,Annual,21.72,6.15,6.55,91.01,"31,641,854,000","29,694,815,000",7.75,114.65,96.83
A000270,기아,12,2017,Annual,17.24,1.88,2.89,28.17,"32,109,883,000","31,507,274,000",3.49,52.39,43.33
A000270,기아,12,2018,Annual,15.03,1.23,1.26,18.35,"31,912,189,000","31,519,548,000",1.43,21.33,18.73
A000270,기아,12,2019,Annual,17.61,4.37,4.48,69.14,"33,857,781,000","32,378,733,000",6.08,96.23,70.84
A000270,기아,12,2020,Annual,16.61,3.40,2.23,54.65,"34,362,327,000","33,193,198,000",2.89,46.36,35.77
A000270,기아,12,2021,Annual,18.98,6.88,5.44,131.78,"40,979,570,000","38,160,358,000",7.22,138.32,104.29
A000270,기아,12,2022,Annual,19.69,6.47,4.21,140.27,"46,409,721,000","43,408,835,000",5.69,123.37,91.31
A068270,셀트리온,12,2011,Annual,81.83,64.79,61.04,310.50,"278,592,584","98,105,905",66.63,319.35,292.54
A068270,셀트리온,12,2012,Annual,73.66,56.48,49.18,270.76,"348,955,193","151,864,494",52.98,253.98,235.77
A068270,셀트리온,12,2013,Annual,70.35,44.97,46.20,107.53,"224,575,287","123,591,743",51.99,124.34,110.48
A068270,셀트리온,12,2014,Annual,73.97,48.38,31.65,191.86,"404,621,868","208,857,850",40.09,158.96,125.50
A068270,셀트리온,12,2015,Annual,61.47,48.53,38.48,237.62,"528,784,433","272,155,416",42.48,207.98,188.38
A068270,셀트리온,12,2016,Annual,62.05,42.63,36.92,215.01,"577,574,962","331,357,622",45.27,228.31,186.21
A068270,셀트리온,12,2017,Annual,74.71,57.65,43.68,399.47,"828,917,202","351,025,582",56.52,391.64,302.66
A068270,셀트리온,12,2018,Annual,59.70,37.06,27.65,257.46,"861,884,226","542,471,025",34.37,238.74,192.06
A068270,셀트리온,12,2019,Annual,58.20,37.01,29.51,286.37,"981,870,269","618,479,171",37.59,290.87,228.34
A068270,셀트리온,12,2020,Annual,56.54,42.00,30.43,539.06,"1,689,786,997","980,012,857",38.46,493.58,390.58
A068270,셀트리온,12,2021,Annual,57.55,44.38,35.65,525.50,"1,615,839,890","898,677,237",44.80,530.39,422.05
A068270,셀트리온,12,2022,Annual,45.70,31.94,26.39,444.04,"1,937,469,297","1,318,578,524",31.30,435.07,366.91
A005490,POSCO홀딩스,12,2011,Annual,15.56,11.05,8.14,897.67,"39,171,703,426","34,841,322,170",10.38,842.81,661.03
A005490,POSCO홀딩스,12,2012,Annual,12.96,7.82,7.01,578.27,"35,664,933,133","32,875,335,875",8.75,647.23,518.14
A005490,POSCO홀딩스,12,2013,Annual,13.26,7.25,5.18,459.19,"30,543,544,661","28,328,412,042",6.50,411.54,328.07
A005490,POSCO홀딩스,12,2014,Annual,14.59,8.04,3.90,487.15,"29,218,854,280","26,868,819,225",5.89,356.84,236.10
A005490,POSCO홀딩스,12,2015,Annual,16.14,8.74,5.15,463.98,"25,607,220,942","23,368,972,153",6.51,345.83,273.27
A005490,POSCO홀딩스,12,2016,Annual,18.18,10.83,7.34,546.29,"24,324,933,260","21,689,596,065",9.00,453.84,370.03
A005490,POSCO홀딩스,12,2017,Annual,16.53,10.16,8.92,601.67,"28,553,814,576","25,651,361,709",11.75,695.42,527.71
A005490,POSCO홀딩스,12,2018,Annual,16.08,12.42,3.50,789.67,"30,659,425,434","26,850,049,621",7.29,463.28,222.34
A005490,POSCO홀딩스,12,2019,Annual,12.09,8.52,3.87,536.14,"30,373,510,739","27,787,151,387",6.03,379.61,243.72
A005490,POSCO홀딩스,12,2020,Annual,8.25,4.28,3.64,235.32,"26,509,920,446","25,374,723,881",3.84,211.00,200.22
A005490,POSCO홀딩스,12,2021,Annual,19.50,16.66,12.98,"1,378.43","39,920,200,837","33,270,600,950",17.49,"1,447.69","1,074.05"
A005490,POSCO홀딩스,12,2022,Annual,24.76,19.50,-5.45,347.20,"8,589,818,953","6,914,926,084",15.36,273.52,-96.98
A035420,NAVER,12,2011,Annual,100.00,45.57,32.87,"2,717.96","1,435,148,217","781,102,751",43.62,"2,601.44","1,960.21"
A035420,NAVER,12,2012,Annual,100.00,45.86,47.39,"2,156.28","1,131,382,860","612,497,833",48.82,"2,295.37","2,227.89"
A035420,NAVER,12,2013,Annual,100.00,48.25,160.25,"2,912.29","1,223,505,708","633,108,161",44.36,"2,677.14","9,671.40"
A035420,NAVER,12,2014,Annual,100.00,43.48,28.14,"4,319.43","1,637,164,959","925,265,388",37.08,"3,683.07","2,795.02"
A035420,NAVER,12,2015,Annual,100.00,38.60,30.01,"5,014.71","2,141,274,744","1,314,783,446",39.63,"5,148.25","3,898.93"
A035420,NAVER,12,2016,Annual,100.00,38.79,26.11,"5,875.44","2,496,498,317","1,528,147,410",36.44,"5,519.73","3,954.87"
A035420,NAVER,12,2017,Annual,100.00,40.20,28.98,"7,148.92","2,930,661,325","1,752,423,852",39.68,"7,056.45","5,153.78"
A035420,NAVER,12,2018,Annual,100.00,36.53,26.03,"7,666.54","3,459,014,043","2,195,465,089",35.37,"7,423.36","5,463.29"
A035420,NAVER,12,2019,Annual,100.00,35.74,28.01,"8,456.91","3,900,013,296","2,506,201,301",39.53,"9,352.98","6,628.86"
A035420,NAVER,12,2020,Annual,100.00,34.92,29.00,"8,742.09","4,126,629,313","2,685,815,581",40.23,"10,073.84","7,262.30"
A035420,NAVER,12,2021,Annual,100.00,31.06,30.38,"9,457.54","5,018,667,294","3,459,938,514",41.63,"12,677.05","9,251.40"
A035420,NAVER,12,2022,Annual,100.00,28.19,19.81,"9,427.60","5,512,586,322","3,958,791,474",28.42,"9,506.03","6,626.63"
A006400,삼성SDI,12,2011,Annual,9.65,-0.45,-1.74,-8.40,"4,539,033,205","4,559,257,520",-2.03,-38.36,-32.73
A006400,삼성SDI,12,2012,Annual,12.11,1.18,51.90,24.16,"4,907,778,303","4,849,623,143",69.17,"1,410.53","1,058.33"
A006400,삼성SDI,12,2013,Annual,16.19,-2.40,-2.17,-29.09,"2,918,542,090","2,988,546,617",6.52,79.05,-26.33
A006400,삼성SDI,12,2014,Annual,14.34,-1.77,-3.54,-28.02,"4,720,208,061","4,803,894,140",0.70,11.07,-55.91
A006400,삼성SDI,12,2015,Annual,14.02,-9.22,-3.37,-108.82,"4,208,369,147","4,596,543,659",-9.97,-117.57,-39.79
A006400,삼성SDI,12,2016,Annual,11.66,-22.70,-1.00,-281.45,"4,422,860,767","5,426,831,210",-24.39,-302.47,-12.41
