Symbol,Name,결산월,회계년,주기,유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),현금및현금성자산구성비율(%),영업이익(천원),이자비용(천원),유동자산(천원),유동부채(천원),당좌자산(천원)
A207940,삼성바이오로직스,12,2017,Annual,21.07,0.26,14.17,44.64,80.64,4.99,"65,979,402","5,683,983","620,995,135","2,287,442,106","411,008,418"
A207940,삼성바이오로직스,12,2018,Annual,28.72,0.33,16.7,30.52,43.92,0.29,"55,678,745","15,838,589","1,577,683,716","710,529,787","1,275,323,000"
A207940,삼성바이오로직스,12,2019,Annual,28.8,0.37,14.29,26.34,35.76,2.12,"91,742,387","25,614,722","1,356,261,664","690,505,243","903,791,737"
A207940,삼성바이오로직스,12,2020,Annual,27.03,0.36,10.58,28.41,39.69,0.45,"292,786,554","16,085,622","1,751,347,248","589,300,919","1,105,387,152"
A207940,삼성바이오로직스,12,2021,Annual,27.69,0.4,12.06,37.38,59.68,0.59,"537,309,408","14,707,182","2,823,175,325","1,107,294,649","1,810,304,534"
A207940,삼성바이오로직스,12,2022,Annual,20.6,35.95,16.15,45.82,84.56,5.37,"983,627,394","64,064,346","6,457,656,567","4,181,541,561","4,081,837,606"
A005380,현대차,12,2011,Annual,17.86,2.43,13.97,63.16,171.48,5.69,"8,028,829,000","35,989,000","29,268,662,000","33,163,508,000","23,030,910,000"
A005380,현대차,12,2012,Annual,17.06,2.37,13.1,60.57,153.64,5.56,"8,440,601,000",0,"33,980,119,000","32,835,699,000","27,207,255,000"
A005380,현대차,12,2013,Annual,16.09,2.35,12.75,57.59,135.8,5.15,"8,315,497,000",0,"37,677,514,000","31,919,682,000","30,604,398,000"
A005380,현대차,12,2014,Annual,15.31,2.6,12.97,57.47,135.11,4.82,"7,549,986,000",0,"42,527,100,000","35,179,673,000","35,109,861,000"
A005380,현대차,12,2015,Annual,17.35,2.6,12.94,59.56,147.26,4.43,"6,357,906,000",0,"43,751,933,000","41,213,520,000","34,552,934,000"
A005380,현대차,12,2016,Annual,16.44,2.56,13.34,59.55,147.2,4.41,"5,193,500,000",0,"47,584,006,000","43,609,793,000","37,060,194,000"
A005380,현대차,12,2017,Annual,16.74,2.7,13.49,58.05,138.37,4.95,"4,574,667,000",0,"48,439,726,000","43,160,709,000","38,159,822,000"
A005380,현대차,12,2018,Annual,16.91,2.72,13.14,59.1,144.47,5.04,"2,422,165,000",0,"47,143,512,000","49,438,414,000","36,428,654,000"
A005380,현대차,12,2019,Annual,16.88,2.71,13.29,60.74,154.71,4.46,"3,605,505,000",0,"45,904,673,000","53,314,096,000","34,240,825,000"
A005380,현대차,12,2020,Annual,16.29,2.71,15.47,63.53,174.22,4.71,"2,394,671,000",0,"51,090,305,000","59,459,528,000","39,756,571,000"
A005380,현대차,12,2021,Annual,15.19,2.5,12.97,64.69,183.17,5.47,"6,678,949,000",0,"53,312,760,000","64,236,787,000","41,667,119,000"
A005380,현대차,12,2022,Annual,14.14,2.39,12.98,64.46,181.36,8.16,"9,824,928,000",0,"58,351,905,000","74,236,472,000","44,060,689,000"
A000270,기아,12,2011,Annual,30.36,5.01,15.17,55.35,123.95,7.62,"3,499,088,000","192,494,000","11,075,187,000","11,421,924,000","6,772,322,000"
A000270,기아,12,2012,Annual,30.01,4.7,15.21,48,92.3,5.87,"3,522,251,000","156,808,000","11,139,430,000","10,000,239,000","6,916,480,000"
A000270,기아,12,2013,Annual,27.02,4.74,14.52,44.02,78.63,6.39,"3,177,100,000",0,"13,472,386,000","10,806,238,000","9,141,019,000"
A000270,기아,12,2014,Annual,24.64,4.6,14.38,45.22,82.55,6.04,"2,572,549,000",0,"16,655,401,000","11,974,338,000","10,574,819,000"
A000270,기아,12,2015,Annual,28.36,4.64,15.17,47.36,89.97,2.4,"2,354,273,000",0,"18,390,784,000","14,579,485,000","10,695,438,000"
A000270,기아,12,2016,Annual,26.51,4.51,15.12,47.77,91.46,6.02,"2,461,480,000",0,"20,912,221,000","16,246,900,000","12,057,848,000"
A000270,기아,12,2017,Annual,26.11,4.72,15.42,48.63,94.68,2.99,"662,226,000","46,331,000","21,642,079,000","15,323,019,000","13,098,434,000"
A000270,기아,12,2018,Annual,28.59,4.85,12.62,47.39,90.09,4.43,"1,157,475,000",0,"19,711,791,000","14,834,739,000","12,477,844,000"
A000270,기아,12,2019,Annual,28.45,4.61,12.67,47.64,90.99,7.71,"2,009,680,000",0,"21,555,416,000","17,276,646,000","13,446,735,000"
A000270,기아,12,2020,Annual,25.76,4.41,13.32,50.58,102.37,16.8,"2,066,457,000","65,120,000","26,093,382,000","21,097,589,000","18,999,423,000"
A000270,기아,12,2021,Annual,23.31,4.24,11.25,47.77,91.48,17.25,"5,065,685,000","28,038,000","29,205,483,000","21,562,636,000","22,117,798,000"
A000270,기아,12,2022,Annual,20.87,3.94,12.47,46.63,87.35,15.67,"7,233,120,000",0,"34,147,147,000","25,377,803,000","25,043,322,000"
A068270,셀트리온,12,2011,Annual,53.87,18.49,17.25,36.08,56.45,3.5,"178,657,358","2,604,368","280,744,838","380,289,788","240,146,653"
A068270,셀트리온,12,2012,Annual,42.74,21.71,17.37,39.4,65.02,3.07,"195,449,916","16,823,931","577,224,765","416,569,616","499,219,358"
A068270,셀트리온,12,2013,Annual,36.21,25.4,25.5,45.05,81.99,4.08,"99,845,427","32,118,643","551,530,079","497,796,860","414,689,964"
A068270,셀트리온,12,2014,Annual,38.68,25.9,29.65,41.97,72.31,4.68,"201,468,888","38,349,073","793,036,329","493,936,504","569,419,285"
A068270,셀트리온,12,2015,Annual,33.99,22.31,21.62,35.53,55.11,5.68,"242,287,886","32,811,378","1,095,316,617","665,750,830","863,071,751"
A068270,셀트리온,12,2016,Annual,30.1,24.97,25.26,28.54,39.93,9.31,"221,243,034","17,539,439","1,240,249,662","610,253,362","1,069,310,676"
A068270,셀트리온,12,2017,Annual,25.63,23.93,20.89,26.82,36.66,12.73,"499,585,551","14,672,138","1,614,033,788","616,781,030","1,414,551,947"
A068270,셀트리온,12,2018,Annual,25.16,25.26,23.19,25.92,34.98,11.72,"323,131,558","14,745,663","1,664,281,326","678,087,471","1,501,364,505"
A068270,셀트리온,12,2019,Annual,23.93,26.12,22.33,25.57,34.35,14.15,"381,532,472","10,827,750","1,785,115,920","657,225,838","1,478,405,997"
A068270,셀트리온,12,2020,Annual,18.85,27.97,16.72,31.72,46.46,13.63,"718,577,360","7,503,344","2,516,494,912","1,056,766,921","2,132,170,251"
A068270,셀트리온,12,2021,Annual,16.75,26.29,18.14,28.62,40.09,20.94,"744,176,850","8,237,638","3,074,470,614","1,210,479,664","2,496,413,760"
A068270,셀트리온,12,2022,Annual,17.09,27.54,16.88,27.45,37.84,9.36,"647,198,175","7,509,860","2,929,792,464","1,294,097,736","2,313,440,112"
A005490,POSCO홀딩스,12,2011,Annual,36.29,6.69,5.29,48.05,92.51,5.87,"5,467,693,871",0,"33,556,910,427","19,605,356,852","21,273,266,867"
A005490,POSCO홀딩스,12,2012,Annual,40.72,7.14,5.99,46.47,86.82,5.9,"3,653,107,747",0,"31,566,116,095","19,775,000,575","20,981,470,409"
A005490,POSCO홀딩스,12,2013,Annual,42.34,7.02,6.25,45.74,84.31,4.98,"2,996,133,864",0,"31,666,211,066","20,241,158,836","21,867,830,482"
A005490,POSCO홀딩스,12,2014,Annual,41.34,8.08,6.25,46.87,88.23,4.47,"3,213,530,266",0,"32,627,381,902","21,877,008,745","22,156,052,174"
