Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원)
A005490,POSCO홀딩스,12,2015,Annual,"45,070,221,970","35,338,537,276"
A005490,POSCO홀딩스,12,2016,Annual,"45,838,394,306","33,924,600,214"
A005490,POSCO홀딩스,12,2017,Annual,"47,464,008,541","31,560,950,539"
A005490,POSCO홀딩스,12,2018,Annual,"46,759,550,870","31,488,714,346"
A005490,POSCO홀딩스,12,2019,Annual,"47,794,706,820","31,263,954,311"
A005490,POSCO홀딩스,12,2020,Annual,"47,674,592,085","31,412,381,141"
A005490,POSCO홀딩스,12,2021,Annual,"54,804,943,352","36,666,670,760"
A005490,POSCO홀딩스,12,2022,Annual,"58,257,400,589","40,149,380,046"
A035420,NAVER,12,2011,Annual,"1,577,862,030","794,843,246"
A035420,NAVER,12,2012,Annual,"1,903,568,275","1,023,748,395"
A035420,NAVER,12,2013,Annual,"1,475,309,016","1,222,437,824"
A035420,NAVER,12,2014,Annual,"1,797,418,215","1,597,039,679"
A035420,NAVER,12,2015,Annual,"2,269,578,519","2,116,334,499"
A035420,NAVER,12,2016,Annual,"4,129,598,863","2,241,036,318"
A035420,NAVER,12,2017,Annual,"5,305,186,235","2,714,065,325"
A035420,NAVER,12,2018,Annual,"5,949,140,513","3,932,050,396"
A035420,NAVER,12,2019,Annual,"6,503,926,069","5,795,601,052"
A035420,NAVER,12,2020,Annual,"8,255,132,035","8,759,106,629"
A035420,NAVER,12,2021,Annual,"24,027,376,349","9,663,630,408"
A035420,NAVER,12,2022,Annual,"23,450,322,480","10,448,720,409"
A051910,LG화학,12,2011,Annual,"9,707,679,000","5,577,875,000"
A051910,LG화학,12,2012,Annual,"10,765,355,000","5,815,798,000"
A051910,LG화학,12,2013,Annual,"11,725,662,000","5,720,802,000"
A051910,LG화학,12,2014,Annual,"12,265,852,000","5,861,794,000"
A051910,LG화학,12,2015,Annual,"13,103,522,000","5,475,206,000"
A051910,LG화학,12,2016,Annual,"14,050,967,000","6,436,093,000"
A051910,LG화학,12,2017,Annual,"16,338,577,000","8,702,644,000"
A051910,LG화학,12,2018,Annual,"17,322,128,000","11,622,009,000"
A051910,LG화학,12,2019,Annual,"17,383,789,000","16,640,637,000"
A051910,LG화학,12,2020,Annual,"18,790,440,000","22,598,454,000"
