Symbol,Name,결산월,회계년,주기,고정자산회전율,매출액(천원),비유동자산(천원)
A161390,한국타이어앤테크놀로지,12,2017,Annual,1.138447794,6812857982,5984339395
A161390,한국타이어앤테크놀로지,12,2018,Annual,1.108023099,6795088816,6132623788
A161390,한국타이어앤테크놀로지,12,2019,Annual,1.137562419,6883268577,6050893085
A161390,한국타이어앤테크놀로지,12,2020,Annual,1.080859022,6453071785,5970317730
A161390,한국타이어앤테크놀로지,12,2021,Annual,1.154579404,7141136828,6185054751
A161390,한국타이어앤테크놀로지,12,2022,Annual,1.366008371,8394203037,6145059736
A086280,현대글로비스,12,2011,Annual,7.359585529,9545995021,1297083237
A086280,현대글로비스,12,2012,Annual,7.667467912,11746035658,1531931505
A086280,현대글로비스,12,2013,Annual,6.00184682,12861255453,2142882989
A086280,현대글로비스,12,2014,Annual,4.865461795,13922020908,2861397642
A086280,현대글로비스,12,2015,Annual,3.900935215,14671209543,3760946731
A086280,현대글로비스,12,2016,Annual,3.805060728,15340631692,4031639122
A086280,현대글로비스,12,2017,Annual,3.792173477,16358289275,4313697507
A086280,현대글로비스,12,2018,Annual,3.987361421,16865565663,4229755942
A086280,현대글로비스,12,2019,Annual,3.599701475,18270050466,5075434892
A086280,현대글로비스,12,2020,Annual,3.338308716,16519884633,4948579067
A086280,현대글로비스,12,2021,Annual,4.186193948,21779581931,5202716883
A086280,현대글로비스,12,2022,Annual,4.737048723,26981880971,5695926419
A005830,DB손해보험,3,2011,Annual,,8979845646,
A005830,DB손해보험,3,2012,Annual,,9627251324,
A005830,DB손해보험,12,2013,Annual,,8547607520,
A005830,DB손해보험,12,2014,Annual,,11837105536,
A005830,DB손해보험,12,2015,Annual,,12635915955,
A005830,DB손해보험,12,2016,Annual,,13242171667,
A005830,DB손해보험,12,2017,Annual,,13571668576,
A005830,DB손해보험,12,2018,Annual,,13694903919,
A005830,DB손해보험,12,2019,Annual,,14398431205,
A005830,DB손해보험,12,2020,Annual,,15456134293,
A005830,DB손해보험,12,2021,Annual,,16389460152,
A005830,DB손해보험,12,2022,Annual,,13961857227,
A326030,SK바이오팜,12,2011,Annual,0.553159831,37631486,68030041
A326030,SK바이오팜,12,2012,Annual,0.854665693,51798063,60606227
A326030,SK바이오팜,12,2013,Annual,0.932077818,60454791,64860240
A326030,SK바이오팜,12,2014,Annual,1.107638184,72440821,65401159
A326030,SK바이오팜,12,2015,Annual,1.198028654,71416702,59611848
A326030,SK바이오팜,12,2016,Annual,4.744765987,89927545,18952999
A326030,SK바이오팜,12,2017,Annual,0,0,16539191
A326030,SK바이오팜,12,2018,Annual,0.078607991,1098738,13977434
A326030,SK바이오팜,12,2019,Annual,3.066228931,123852416,40392423
A326030,SK바이오팜,12,2020,Annual,0.396092351,25999027,65638801
A326030,SK바이오팜,12,2021,Annual,2.42786679,418644529,172433072
A326030,SK바이오팜,12,2022,Annual,1.396234737,246179120,176316427
A022100,포스코DX,12,2011,Annual,3.473927483,1006448074,289714762
A022100,포스코DX,12,2012,Annual,2.564728722,1128387879,439963833
A022100,포스코DX,12,2013,Annual,2.871046905,1207033019,420415639
A022100,포스코DX,12,2014,Annual,2.452103821,969869205,395525343
A022100,포스코DX,12,2015,Annual,2.94449353,840545682,285463586
A022100,포스코DX,12,2016,Annual,3.339982192,866893881,259550450
A022100,포스코DX,12,2017,Annual,3.562627453,950592313,266823384
A022100,포스코DX,12,2018,Annual,3.45901812,927076974,268017380
A022100,포스코DX,12,2019,Annual,4.376484885,969787010,221590394
A022100,포스코DX,12,2020,Annual,4.710806043,964202340,204678845
A022100,포스코DX,12,2021,Annual,4.237068752,869274144,205159320
A022100,포스코DX,12,2022,Annual,4.645995255,1152680199,248101889
