Symbol,Name,회계년,매출총이익률(%),영업이익률(%),당기순이익률(%),자본금영업이익률(%),영업수익/영업비용(%),세전계속사업이익률(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%),매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),부채비율(%),유동비율(%),당좌비율(%),현금비율(%),유형자산구성비율(%),무형자산구성비율(%),판관비율(%),타인자본비율(%),총자산회전율(회),매출채권회전율(회),재고자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),현금흐름/총부채(%),현금흐름/영업수익(%),현금흐름/총자본(%),DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,manipulate
A000210,DL,2020,30.65,23.38,47.41,113.1,130.52,6.83,33.05,229.29,-6.85,279.7,26.23,-62.43,-25.21,396.95,103.58,102.54,12.16,5.56,0.04,7.27,79.88,0.1,3.11,1.96,0.17,0.28,4.84,9.52,57.42,16.2,0.21,0.41,0.49,0.93,0.12,1.04,1.74,-0.07,0.0
A000210,DL,2021,11.91,-31.05,428.49325000000283,-8.03,76.31,-90.62,-23.44,224.5,-95.63,-105.8,-19.97,45.18,-99.77,24.9,60.7,60.7,35.96,0.03,0.02,42.95,19.93,0.01,0.75,1.25,0.01,0.02,0.26,9.52,434.1897500000001,16.82,2.56,2.57,4.4,0.04,0.16,5.91,0.25,-0.01,0.0
A375500,DL이앤씨,2022,14.26,7.63,5.88,250.08,108.26,8.9,291.8,192.7,0.5,-40.77,-32.91,3.16,0.65,77.64,145.8,129.57,42.5,1.82,0.27,6.63,43.71,0.76,13.44,12.93,1.73,1.37,32.77,12.36,7.16,9.81,1.2,1.37,1.05,1.01,0.33,1.01,0.98,0.03,0.0
A155660,DSR,2013,14.14,5.17,4.31,112.59,105.45,5.44,118.54,93.89,-3.02,-19.19,-16.59,28.35,11.63,41.4,221.64,155.05,12.21,29.41,0.0,8.97,29.28,1.16,4.28,5.46,3.62,1.72,21.77,22.5,6.22,10.68,1.15,1.02,0.84,0.97,0.07,1.1,0.82,0.03,0.0
A155660,DSR,2014,14.14,4.87,3.94,102.43,105.12,4.82,101.31,82.84,10.32,3.97,0.84,6.44,9.18,42.95,203.07,135.72,1.49,29.84,0.0,9.26,30.05,1.15,4.25,6.08,3.87,1.63,21.02,22.45,5.81,9.47,1.0,1.0,1.12,1.1,0.07,1.03,1.03,0.05,0.0
A155660,DSR,2015,16.31,7.28,5.76,147.95,107.86,7.45,151.21,116.92,-3.36,44.44,41.13,8.31,-1.18,35.53,261.72,186.7,10.54,28.72,0.0,9.02,26.22,1.06,4.13,5.84,3.76,1.47,20.31,29.49,7.85,11.53,0.92,0.87,1.17,0.97,0.06,0.97,0.87,-0.06,0.0
A155660,DSR,2016,17.9,8.43,6.95,166.93,109.21,9.48,187.68,137.68,-2.51,12.83,17.76,10.51,4.47,37.98,228.76,167.42,11.53,26.66,0.0,9.47,27.53,0.96,4.06,5.94,3.55,1.31,19.8,32.84,9.25,12.09,1.13,0.91,1.14,0.97,0.07,1.05,1.05,0.02,0.0
A155660,DSR,2017,16.59,8.35,7.02,187.61,109.11,8.47,190.43,157.89,13.54,12.39,14.67,8.13,27.61,41.41,169.26,113.65,3.2,30.7,0.0,8.25,29.28,0.97,4.24,6.11,3.42,1.36,22.48,32.25,9.44,12.83,0.95,1.08,1.33,1.14,0.07,0.87,1.06,0.02,0.0
A155660,DSR,2018,12.33,5.23,5.1,112.59,105.52,6.03,129.93,109.85,-4.19,-39.99,-30.42,5.4,-4.87,29.51,221.73,132.96,3.43,30.26,0.0,7.1,22.78,0.9,4.1,5.0,3.46,1.22,21.54,27.69,8.01,9.77,0.95,1.35,0.99,0.96,0.07,0.86,0.78,0.01,0.0
A155660,DSR,2019,13.22,5.41,5.16,114.76,105.72,6.89,146.22,109.55,-1.45,1.93,-0.28,5.22,-2.67,31.3,194.61,121.48,6.76,27.61,0.0,7.81,23.84,0.88,4.16,4.76,3.75,1.14,21.23,30.34,8.08,9.23,1.05,0.93,1.38,0.99,0.08,1.1,1.05,-0.03,0.0
A155660,DSR,2020,14.03,5.81,3.98,119.12,106.17,5.19,106.43,81.49,-3.44,3.8,-25.62,3.72,-1.03,32.38,199.01,131.53,9.67,26.13,0.0,8.22,24.46,0.8,4.3,4.86,3.31,1.06,20.5,23.35,7.05,7.44,0.86,0.94,0.97,0.97,0.08,1.05,1.03,-0.03,0.0
A155660,DSR,2021,14.32,6.43,4.6,156.68,106.87,6.48,157.87,111.98,18.87,31.53,37.42,5.11,3.51,43.13,191.98,122.87,16.72,23.8,0.0,7.89,30.13,0.87,4.96,4.73,3.17,1.2,24.36,22.82,7.2,8.65,1.06,0.98,0.72,1.19,0.08,0.96,1.23,0.01,0.0
A155660,DSR,2022,20.11,12.61,7.81,388.48,114.43,10.77,331.61,240.43,26.42,147.95,114.71,11.59,8.3,50.71,167.57,103.4,5.34,21.93,0.0,7.5,33.65,0.95,5.47,5.05,2.97,1.4,30.8,29.64,9.97,13.97,0.83,0.71,1.71,1.26,0.08,0.95,1.12,-0.0,0.0
A069730,DSR제강,2012,9.17,-0.84,0.73,-19.76,99.17,0.6,14.09,17.17,5.65,-118.55,-86.89,0.1,-4.8,99.72,104.01,53.09,1.53,40.4,0.0,10.01,49.93,0.84,4.38,4.16,1.66,1.69,23.48,10.77,6.5,10.96,0.98,1.41,1.13,1.06,0.07,1.23,0.98,-0.04,0.0
A069730,DSR제강,2013,11.45,2.58,1.01,64.36,102.65,0.6,14.89,25.2,6.17,-425.68,46.74,1.07,-0.09,101.18,99.75,57.33,0.92,39.65,0.0,8.87,50.29,0.89,4.19,4.71,1.77,1.78,24.93,11.55,6.52,11.6,1.12,0.8,0.93,1.06,0.11,0.89,1.01,-0.04,0.0
A069730,DSR제강,2014,13.47,4.62,3.62,129.62,104.85,4.65,130.42,101.37,12.45,101.42,302.29,7.34,-7.69,85.78,103.9,64.86,1.57,36.92,0.0,8.85,46.17,0.99,4.09,5.76,2.06,1.92,28.03,18.57,9.01,17.31,1.0,0.85,1.06,1.12,0.11,1.0,0.92,-0.01,0.0
A069730,DSR제강,2015,14.38,5.53,5.4,140.21,105.85,6.87,174.28,137.04,-9.49,8.17,35.18,8.53,-5.23,56.08,127.27,77.33,4.63,38.38,0.0,8.85,35.93,0.95,3.96,5.94,2.29,1.61,25.37,26.17,11.43,18.4,0.84,0.94,1.19,0.91,0.13,1.0,0.78,-0.13,0.0
A069730,DSR제강,2016,12.87,4.44,5.04,106.45,104.65,6.03,144.43,120.67,-5.55,-24.08,-11.95,7.08,-9.23,50.44,142.12,89.65,5.93,33.75,0.0,8.43,33.53,0.92,4.17,5.97,2.65,1.41,23.96,29.71,11.19,15.79,1.13,1.12,1.05,0.94,0.13,0.95,0.93,-0.03,0.0
